variable,demand_site,wba_group,delivery_group,groundwater,include,Demand,Supply_Source,project,branch,start,end,sign
transmission_link_from_upper_dmc_to_cvp_upper_dmc_urban_demands,cvp_upper_dmc_urban_demands,cvp_total,cvp_total,FALSE,TRUE,CVP Upper DMC Urban Demands,Upper DMC,cvp,Supply and Resources\Transmission Links\to CVP Upper DMC Urban Demands\from Upper DMC: Flow,March,February,1
transmission_link_from_upper_dmc_to_cvp_upper_dmc_water_rights,cvp_upper_dmc_water_rights,cvp_total,cvp_total,FALSE,TRUE,CVP Upper DMC Water Rights,Upper DMC,cvp,Supply and Resources\Transmission Links\to CVP Upper DMC Water Rights\from Upper DMC: Flow,March,February,1
transmission_link_from_glenn_colusa_canal_cm_027_to_r_08_pr,r_08_pr,cvp_total,cvp_total,FALSE,TRUE,R_08_PR,Glenn Colusa Canal CM 027,cvp,Supply and Resources\Transmission Links\to R_08_PR\from Glenn Colusa Canal CM 027: Flow,March,February,1
transmission_link_from_glenn_colusa_canal_cm_039_to_r_08_pr,r_08_pr,cvp_total,cvp_total,FALSE,TRUE,R_08_PR,Glenn Colusa Canal CM 039,cvp,Supply and Resources\Transmission Links\to R_08_PR\from Glenn Colusa Canal CM 039: Flow,March,February,1
transmission_link_from_glenn_colusa_canal_cm_056_to_r_08_pr,r_08_pr,cvp_total,cvp_total,FALSE,TRUE,R_08_PR,Glenn Colusa Canal CM 056,cvp,Supply and Resources\Transmission Links\to R_08_PR\from Glenn Colusa Canal CM 056: Flow,March,February,1
transmission_link_from_joint_board_canal_node_3_to_r_17_pr1,r_17_pr1,cvp_total,cvp_total,FALSE,TRUE,R_17_PR1,Joint Board Canal Node 3,cvp,Supply and Resources\Transmission Links\to R_17_PR1\from Joint Board Canal Node 3: Flow,March,February,1
transmission_link_from_sutter_bypass_cm_028_to_r_17_pr2,r_17_pr2,cvp_total,cvp_total,FALSE,TRUE,R_17_PR2,Sutter Bypass CM 028,cvp,Supply and Resources\Transmission Links\to R_17_PR2\from Sutter Bypass CM 028: Flow,March,February,1
transmission_link_from_clear_creek_wtp_to_u_02_pu,u_02_pu,cvp_total,cvp_total,FALSE,TRUE,U_02_PU,Clear Creek WTP,cvp,Supply and Resources\Transmission Links\to U_02_PU\from Clear Creek WTP: Flow,March,February,1
transmission_link_from_whiskeytown_reservoir_to_u_02_pu,u_02_pu,cvp_total,cvp_total,FALSE,TRUE,U_02_PU,Whiskeytown Reservoir,cvp,Supply and Resources\Transmission Links\to U_02_PU\from Whiskeytown Reservoir: Flow,March,February,1
transmission_link_from_foothill_wtp_to_u_02_su,u_02_su,cvp_total,cvp_total,FALSE,TRUE,U_02_SU,Foothill WTP,cvp,Supply and Resources\Transmission Links\to U_02_SU\from Foothill WTP: Flow,March,February,1
transmission_link_from_bella_vista_pipeline_to_u_03_pu,u_03_pu,cvp_total,cvp_total,FALSE,TRUE,U_03_PU,Bella Vista Pipeline,cvp,Supply and Resources\Transmission Links\to U_03_PU\from Bella Vista Pipeline: Flow,March,February,1
transmission_link_from_shasta_lake_to_u_03_pu,u_03_pu,cvp_total,cvp_total,FALSE,TRUE,U_03_PU,Shasta Lake,cvp,Supply and Resources\Transmission Links\to U_03_PU\from Shasta Lake: Flow,March,February,1
transmission_link_from_whiskeytown_reservoir_to_u_03_pu,u_03_pu,cvp_total,cvp_total,FALSE,TRUE,U_03_PU,Whiskeytown Reservoir,cvp,Supply and Resources\Transmission Links\to U_03_PU\from Whiskeytown Reservoir: Flow,March,February,1
transmission_link_from_foothill_wtp_to_u_03_su,u_03_su,cvp_total,cvp_total,FALSE,TRUE,U_03_SU,Foothill WTP,cvp,Supply and Resources\Transmission Links\to U_03_SU\from Foothill WTP: Flow,March,February,1
transmission_link_from_roseville_wtp_cvp_to_u_26_pu1,u_26_pu1,cvp_total,cvp_total,FALSE,TRUE,U_26_PU1,Roseville WTP CVP,cvp,Supply and Resources\Transmission Links\to U_26_PU1\from Roseville WTP CVP: Flow,March,February,1
transmission_link_from_peterson_wtp_cvp_to_u_26_pu2,u_26_pu2,cvp_total,cvp_total,FALSE,TRUE,U_26_PU2,Peterson WTP CVP,cvp,Supply and Resources\Transmission Links\to U_26_PU2\from Peterson WTP CVP: Flow,March,February,1
transmission_link_from_folsom_wtp_cvp_to_u_26_pu3,u_26_pu3,cvp_total,cvp_total,FALSE,TRUE,U_26_PU3,Folsom WTP CVP,cvp,Supply and Resources\Transmission Links\to U_26_PU3\from Folsom WTP CVP: Flow,March,February,1
transmission_link_from_freeport_intertie_cm_013_to_u_26_pu4,u_26_pu4,cvp_total,cvp_total,FALSE,TRUE,U_26_PU4,Freeport Intertie CM 013,cvp,Supply and Resources\Transmission Links\to U_26_PU4\from Freeport Intertie CM 013: Flow,March,February,1
transmission_link_from_folsom_south_canal_cm_003_to_u_26_pu5,u_26_pu5,cvp_total,cvp_total,FALSE,TRUE,U_26_PU5,Folsom South Canal CM 003,cvp,Supply and Resources\Transmission Links\to U_26_PU5\from Folsom South Canal CM 003: Flow,March,February,1
